polygon_nm3kb8yb;74.35279249405897,31.577032831335558@74.35285836642757,31.576711197422853@74.35316377472344,31.576750310868505@74.3531777476529,31.576660179860696@74.35326557748866,31.57667208396083@74.35326158522346,31.57669079040072@74.35331348467238,31.57670099391288@74.35331947307026,31.57665167693115@74.35321767030496,31.57663467106869@74.35324162389742,31.576462911689916@74.35350511340735,31.57649352229575@74.3534512178258,31.576770717876585@74.35335340732573,31.576755412620926@74.35333144986708,31.57687445343491@74.35338135318335,31.57688465692587@74.35339732224423,31.576806430130944@74.35371670346831,31.576843842954162@74.3536987382748,31.576959482494473@74.35372668413132,31.576961183074857@74.35371470733568,31.577030906843902@74.353676780815,31.577020703368945@74.35364683882591,31.577151647882957@74.35329951174413,31.57710233113967@74.35331747693763,31.577007098733873@74.35313183660173,31.57697138655635@74.3530939100794,31.57713486602185@74.35273061393116,31.577095752746388@74.35274658300781,31.57703453191459@74.35279249405897,31.577032831335558
polygon_93pek0tb;74.35412847000762,31.578684760561345@74.35428776819046,31.577609353209738@74.35546889400987,31.577736406712134@74.3554404876501,31.577897531727245@74.35530219125357,31.577943385485057@74.35528200745568,31.577959943780414@74.35527527952303,31.577979049502858@74.35527819896814,31.578006510161686@74.3554022919513,31.578140250067804@74.35536491454602,31.57840772930517@74.3549403072333,31.57835168609985@74.35492386117579,31.57835805464744@74.35493283175259,31.578370791741293@74.3553604292556,31.578424924371404@74.35530062540823,31.578840152446645@74.35452616559161,31.578743350974833@74.35412847000762,31.578684760561345
polygon_nxnorqh8;74.35540637670914,31.578111135180706@74.35529573959121,31.57799650095093@74.35529573959121,31.577977395232807@74.35530770036024,31.57795956322491@74.35543627863191,31.577917530622372@74.35540637670914,31.578111135180706
polygon_1fbh6tuo;74.35519407467575,31.57811432000112@74.35515853604551,31.5780715537435@74.35511368315952,31.578099575434564@74.35497463921675,31.577925076585046@74.35514956546868,31.57782317929592@74.35516900171848,31.577842285046458@74.35520488403819,31.577824453002165@74.35523927124939,31.577853748483903@74.35525387852135,31.5778493873555@74.3553077019842,31.577920715449423@74.35525985890592,31.57794618975568@74.35525686871364,31.57800987549051@74.3552927510228,31.578050634337714@74.35519407467575,31.57811432000112
polygon_ykp7vpxt;74.35514439741974,31.57802068319549@74.35507263280323,31.57793534431059@74.35514439741974,31.57788949054961@74.35522214242084,31.577974829476503@74.35514439741974,31.57802068319549
polygon_o5kg4ywz;74.35457925106624,31.577723907334928@74.3545643001031,31.577792688090526@74.35481547625699,31.577829625885485@74.35483640760299,31.57774683426139@74.35495751039392,31.577765940027533@74.3548932212581,31.578070358035035@74.35438937384635,31.57799520891237@74.35445665317445,31.57770225412611@74.35457925106624,31.577723907334928
polygon_5k9z1n4u;74.35461812382982,31.578485587498832@74.35467194728719,31.578195271227784@74.35458224151702,31.578179986685413@74.3545867268054,31.57814304903205@74.35486182450057,31.578178712973482@74.35479454517352,31.57853271467279@74.3545194474828,31.578502145697854@74.35452692296352,31.578476671544294@74.35461812382982,31.578485587498832
polygon_uo2xqgec;74.35447459459135,31.578467845138505@74.35433555064856,31.57844746580794@74.35438937410953,31.578157059868303@74.35452991315029,31.57817361812569@74.35455383468852,31.578066626254554@74.35490219209814,31.578113753641247@74.35489172642517,31.578178712973482@74.35491116267497,31.578186355245464@74.35483192257777,31.578607952913202@74.35445814853378,31.57855955206969@74.35447459459135,31.578467845138505
polygon_xjlc6qzl;74.35451538338666,31.577529436652313@74.35454232265567,31.57733264658239@74.3550868006619,31.57738869039595@74.3550912859503,31.577369584553253@74.35516828340332,31.577374679445@74.35516753585526,31.577396969594034@74.35526621220225,31.57741098054163@74.35523705782751,31.577605859871824@74.35511540991286,31.57759567011213@74.35511391481671,31.577610954749545@74.35507130457492,31.57760585987066@74.35507429476715,31.577591848952366@74.35478599579335,31.57756000594715@74.35478300560109,31.57756955884949@74.35469703757121,31.57756000594715@74.35469404737896,31.577549179322517@74.35451538338666,31.577529436652313
polygon_9napqq2g;74.35530334082216,31.577219435893767@74.35533111435296,31.57707248696714@74.35535450259124,31.577077468291122@74.35532819082337,31.577218190564878@74.35530334082216,31.577219435893767
polygon_349cn1vm;74.35529310846869,31.576756172391327@74.35530041729254,31.57671507632371@74.35542612906721,31.576727529679715@74.35541882024154,31.57677236174571@74.35529310846869,31.576756172391327
polygon_fc32g569;74.35486481137724,31.57726675837968@74.35465061202027,31.57722741338803@74.35471054437798,31.576902382005798@74.3547412414384,31.57690487267199@74.35475293555669,31.5768475873314@74.35486256791879,31.57685879533605@74.35484941203396,31.576917326002643@74.35488010909617,31.57692604333262@74.35489472674396,31.57685879533605@74.35543704149006,31.576936005994426@74.355423885607,31.57700325393529@74.35537857089702,31.576998272608122@74.35536249146978,31.577040613889153@74.35494082315316,31.576986559104455@74.3549013554971,31.57717086805414@74.35529457023199,31.577228153195307@74.35527556728985,31.57735144066369@74.35485750255191,31.577301627565234@74.35486481137724,31.57726675837968
polygon_18fc89d3;74.35451679267504,31.57656365112055@74.35448755737946,31.5765574244314@74.35449340443853,31.57653251767374@74.35473459563275,31.576568632470938@74.35470974562969,31.576689430138984@74.35450071326247,31.57665829673421@74.35451679267504,31.57656365112055
polygon_cu6htx2u;74.35580196719914,31.57681476327332@74.35580798464437,31.576782722669293@74.3561118656362,31.57682886113963@74.35610885691361,31.5768596201045@74.35580196719914,31.57681476327332
polygon_hfg3dzwl;74.35577202539025,31.57757044921682@74.35582016495363,31.577219286442556@74.35620227273057,31.57725773498585@74.35615413316901,31.57760633438926@74.35577202539025,31.57757044921682
polygon_ms9mb5s7;74.35562459797944,31.57775500138476@74.35572689454949,31.57698859484914@74.35601573192596,31.577009100791955@74.35599166214519,31.577121883394952@74.35610599360564,31.5771244466343@74.35612705466383,31.5769296402391@74.35625041229386,31.576937329973532@74.35622935123575,31.5771090671972@74.35637076120136,31.577119320155546@74.35628350824248,31.577737058828532@74.35634067397359,31.57773962205175@74.356337665251,31.577819081913404@74.35562459797944,31.57775500138476
polygon_xe6gwfzu;74.35573892944026,31.577958136509068@74.35574494688996,31.577929941120487@74.35577653847719,31.577933785946115@74.35577503411139,31.57795685490089@74.35573892944026,31.577958136509068
polygon_tndgc0dv;74.35555840608356,31.577968389370582@74.35558097150485,31.577827412375612@74.3556155718147,31.577835102035237@74.35560805000821,31.577876113543155@74.35563813723417,31.57788123998027@74.35563061542766,31.577974797410633@74.35555840608356,31.577968389370582
polygon_4w1m5hz3;74.35584863409039,31.57827582900984@74.35586066898074,31.578254041742355@74.3558862431228,31.57826557617871@74.35587571259376,31.578283518632446@74.35584863409039,31.57827582900984
polygon_fulirccb;74.35551767459754,31.578195087932627@74.35552970948794,31.578088714660325@74.35561395372244,31.578095122692076@74.35559891010945,31.57820277756187@74.35551767459754,31.578195087932627
polygon_4r6hic0g;74.355618196909,31.578530125087283@74.35563173616069,31.57847245305331@74.35566934519494,31.578482705861674@74.35565430158198,31.57853653308868@74.355618196909,31.578530125087283
polygon_m3ayh8gr;74.35564527541237,31.578695451386437@74.35569341497569,31.578448102628116@74.35616277571157,31.57850705627783@74.35611764487084,31.578759531268503@74.35564527541237,31.578695451386437
polygon_bfm620mu;74.35557126109177,31.57859069898454@74.35555621714289,31.578716358551517@74.35555997804613,31.578725329736187@74.35557426947847,31.57872212574125@74.35562767430676,31.578354564134827@74.35592177734543,31.578384681816743@74.35592854697126,31.57837955540731@74.35597142127008,31.578107214494352@74.3559827039798,31.57810593288822@74.35599849977342,31.57809952485718@74.35601354338641,31.578087349597098@74.35601504768377,31.578079339373105@74.35645883427759,31.578126758803137@74.35641219907549,31.578484326163732@74.356364059514,31.57870476127262@74.35631591995062,31.57876243316207@74.35627981527949,31.578834202576076@74.35627981527949,31.578877776835554@74.3562030928515,31.57890212714851@74.35606168288584,31.57890597193402@74.35533507636256,31.578852144920376@74.355372685395,31.57856763019086@74.35557126109177,31.57859069898454
polygon_sdg3a5zt;74.35559457918407,31.57843056212532@74.35559006610018,31.578469010168973@74.35545843448295,31.578456194156445@74.35546219538622,31.57842095011138@74.35546670847009,31.578392114065807@74.35552387420128,31.57839595887242@74.35552236983992,31.578417746106723@74.35552989164646,31.57842351331577@74.35559457918407,31.57843056212532
polygon_0a8c2r4g;74.35537644670143,31.57854558590236@74.35545316912942,31.57801756514833@74.35591651242007,31.578064984610577@74.35591952130409,31.57807299455594@74.35592732391208,31.57809101389921@74.35594086316561,31.578100625946433@74.355950641514,31.57810447076507@74.35591002375716,31.578368481269777@74.35553618996553,31.578328110780035@74.35553017252036,31.578335159596847@74.35553468560425,31.57834477161967@74.35560614276767,31.578353742839354@74.3555979769383,31.57841232754474@74.35554381993154,31.578407201136855@74.35554532429288,31.578386054700445@74.35553855466702,31.578380928291068@74.3554520538888,31.578373879477738@74.35544829298547,31.578380287489907@74.35543625809515,31.57846615481165@74.35544453208226,31.57847064041654@74.35558744640923,31.57848730122987@74.35557541151883,31.578571886854135@74.35537644670143,31.57854558590236
polygon_554osp1j;74.35596270388606,31.5780918892835@74.35594952486844,31.578087528214013@74.35594080768934,31.578080101811167@74.35593521124196,31.578071323859504@74.35593554652127,31.578059184543847@74.35593973747154,31.578048616197904@74.35594895756603,31.578040047267905@74.35596085986785,31.578035477171582@74.35597326508508,31.57803519154055@74.35598634085457,31.578039047559017@74.35599539330892,31.57804661678101@74.35600226646977,31.57805589978814@74.35600243410826,31.57806718221093@74.35599774024257,31.578078893078327@74.35598885542501,31.57808703355883@74.35597645020775,31.5780918892835@74.35596270388606,31.5780918892835
polygon_gx1qqjqt;74.35443329129038,31.57657926275293@74.35444823017008,31.57648493284036@74.3566133522738,31.576817087849363@74.35663356369935,31.57684927969966@74.35664235127555,31.57688671206961@74.35663356369935,31.576981790222064@74.35660017090933,31.577173069201052@74.35639454158215,31.577151732920683@74.35638487524821,31.577156224791196@74.35638487524821,31.577163711241568@74.35639366282456,31.577171197691328@74.35660017087275,31.57719141110354@74.35650274766701,31.57778749324902@74.35646408233026,31.578110905173375@74.3560203107829,31.578059997551293@74.35602118954054,31.578052511172928@74.35601591699475,31.57804128160423@74.35600009935641,31.578028554758077@74.3559886755072,31.57802331429062@74.35599922059873,31.5779229967292@74.35599570556823,31.57791401306187@74.35598252420382,31.577913264422875@74.35597813041562,31.577921499451378@74.35596494905013,31.578019571100015@74.35595704023149,31.578021068376287@74.35594210135176,31.57802630884389@74.35592452619917,31.578039035690324@74.35592188992518,31.5780472707077@74.3554556786149,31.577997111954218@74.35550147425872,31.577726443667004@74.35560868269158,31.576855022047198@74.35605860660849,31.57690742735818@74.35606739418475,31.576892454414804@74.35606036412378,31.576878978764526@74.35562098529837,31.576829568029225@74.35488282851225,31.576754703334416@74.35487579845122,31.576766681706303@74.35488634354385,31.5767816546699@74.35557528954124,31.576853524859075@74.3554715959257,31.577711471030042@74.35530814700343,31.577696498215815@74.3553309947018,31.577512332411587@74.35532396464055,31.57750372302455@74.35530990451846,31.577505220309106@74.35530199569976,31.577511958089204@74.35527563296986,31.57769163204975@74.35429406085177,31.577581207476328@74.35445575225722,31.576635668251683@74.35446102503883,31.576581016187617@74.35445047994773,31.576574652663666@74.35444169237141,31.5765731553642@74.35443329129038,31.57657926275293
polygon_a4xe1hb3;74.35412556254047,31.578792390596576@74.35420379861887,31.57880299415592@74.354113115892,31.579296815695827@74.35408466640862,31.579293786123856@74.35408111022332,31.57932256705439@74.35391752569706,31.579304389625236@74.35392108188233,31.579277123476345@74.35363125277419,31.57923925381087@74.35365614607224,31.57910595246571@74.35412556254047,31.578792390596576
polygon_wmsjzww1;74.35396108866118,31.578892745541907@74.35393441727152,31.578866994064597@74.35410244702945,31.578757928907393@74.35412467318852,31.578784437811038@74.35396108866118,31.578892745541907
polygon_jfrqi9eq;74.35403388923464,31.578705845703652@74.35402055353526,31.578770981904185@74.35400721783935,31.578788402040217@74.3537218339639,31.57897623633734@74.35372894633446,31.578869443497354@74.35374317107664,31.57886717130792@74.35376450818842,31.578857325152455@74.35377873292956,31.578839147633516@74.35378584530113,31.578820970110158@74.35378495625488,31.57879824820209@74.35377606579053,31.578788402040217@74.35385341282267,31.578679336790117@74.35403388923464,31.578705845703652
polygon_0sac890u;74.35372134563696,31.578852814685533@74.35370267566336,31.57884864900535@74.35369156258429,31.578839938943844@74.35368311664519,31.57882668449878@74.35368311664519,31.578807749576953@74.35369245163153,31.578794495128463@74.35370489828,31.578784648966177@74.35372223468332,31.578781619377565@74.35373957108757,31.578784270267604@74.35375601844453,31.578791844238722@74.35376401986147,31.57880320519513@74.35376624247723,31.578818353133656@74.35376224176883,31.57883387976807@74.35375424035192,31.578843347227746@74.35373957108757,31.578850542495758@74.35372134563696,31.578852814685533
polygon_mpxi88eh;74.3549550131884,31.57892873021393@74.35495591266161,31.578896546694835@74.35500898124877,31.578899611791925@74.35500988071627,31.578924132566115@74.35500448390528,31.57893332785794@74.3549550131884,31.57892873021393
polygon_rkyopumi;74.35507741624528,31.57894285529885@74.35508596118922,31.57890607414096@74.3550900087933,31.578903009044083@74.35512193989274,31.57890607414096@74.35512643723052,31.57887197493139@74.35512868589939,31.578868143558864@74.35519344756486,31.57887159179417@74.35519749516885,31.57887504002929@74.35519479676617,31.57891603570519@74.35518939996078,31.578920633349853@74.35515387098894,31.57891871766664@74.35514667524845,31.578952816859157@74.35514082870935,31.578955881954357@74.35508101411548,31.57894783607911@74.35507741624528,31.57894285529885
polygon_bkfqyn0e;74.35493910878859,31.579434376001103@74.35494990239931,31.579395296228697@74.35512080124008,31.57942058314154@74.35510820869428,31.579464260522116@74.35493910878859,31.579434376001103
polygon_ik6uj28g;74.3549346114508,31.579234379346303@74.35493730985343,31.579217521370552@74.354981383765,31.579217521370552@74.3549966747135,31.579220586457126@74.3549966747135,31.57923361307475@74.3549930768433,31.579241275789656@74.35494270665885,31.579238210703764@74.3549346114508,31.579234379346303
polygon_ltz655w8;74.35487974391597,31.57934637361292@74.3548945851318,31.579248290923758@74.3548977332683,31.579245225838065@74.35495260079051,31.579250972873595@74.35495529919322,31.579255187366044@74.35494135744602,31.579352503778395@74.35493641037442,31.579356335131024@74.35488334178626,31.579350971237304@74.35487974391597,31.57934637361292
polygon_62djui60;74.3544556481535,31.579071750863633@74.35446822666805,31.579028887387366@74.35460659033126,31.579059504158394@74.35459760567801,31.579097775107797@74.3544556481535,31.579071750863633
polygon_t7vlgj3e;74.35405493285751,31.578705879815274@74.35427236147135,31.578739558379453@74.3542364228573,31.579096244242862@74.35425079830253,31.579126860991806@74.35427954919393,31.579148292709377@74.3543172847387,31.57916053940295@74.35479555838378,31.579237081203885@74.354804543037,31.579221772849266@74.35479376145307,31.579209526163737@74.35429601165265,31.579131453503905@74.35428163620628,31.579113083456278@74.3542654638305,31.5790870592173@74.35430140244455,31.578744150910666@74.35519986779053,31.578857433258676@74.35529690204774,31.57886967999046@74.35521424323306,31.57949990857908@74.35507767651038,31.580502758307844@74.35506330106514,31.580619100143778@74.35338691983011,31.58036039243639@74.3534677817101,31.579714448466902@74.35353426815422,31.579178273967898@74.35361153617316,31.57864860308993@74.35382716785642,31.578679219985844@74.35376068142133,31.578772601455427@74.3537486026018,31.57876951912972@74.35371893648033,31.578764780406132@74.35369483275755,31.57877109870421@74.35367675496428,31.578784130192645@74.35366563016916,31.57880426976314@74.35366470310294,31.57882835826213@74.35367536436488,31.57884810292977@74.35369297862496,31.57886310887359@74.35370966581777,31.57886784759222@74.35370085868817,31.578999346941444@74.35370595755268,31.5790036907605@74.35371383761591,31.5790036907605@74.35372264474537,31.57899855715614@74.35374767553557,31.578981576769507@74.35402764955418,31.578798938701752@74.35404039941855,31.578779699337943@74.35404467468649,31.57876252901083@74.35405493285751,31.578705879815274
polygon_0rdq002b;74.35610483516129,31.580609784223782@74.3562084124953,31.580550499320097@74.35608703280744,31.580535333408847@74.35607570403667,31.58061667781456@74.35580543192813,31.580590482165945@74.35581352390719,31.580507759017607@74.35577953759511,31.580503622858373@74.35576982722029,31.5805877247289@74.3556662498863,31.58057945241731@74.35569699940669,31.580380916714347@74.3557941031575,31.580387810322108@74.3557843927826,31.580471912297128@74.35581999749246,31.580471912297128@74.35582808947149,31.580396082650722@74.35609188799484,31.580423657074974@74.35608055922413,31.580503622858373@74.35621488607856,31.580518788774768@74.35615500543153,31.580438823004343@74.35622135966179,31.580396082650722@74.35630389785024,31.58048156333838@74.35642365914433,31.580411248584568@74.35648030299777,31.580474669737583@74.35641556716524,31.580520167494313@74.35643498791501,31.580544984443534@74.35642689593593,31.5805849672918@74.35641071197585,31.58059186088444@74.35645279026895,31.58064563089124@74.35636863368472,31.580698022149306@74.35632331859992,31.580644252173556@74.35622621484927,31.580634601149143@74.35616147901675,31.580670447807066@74.35610483516129,31.580609784223782
polygon_j7yz4jbr;74.35523737674757,31.580535332942375@74.35525679749733,31.580397460905616@74.35564035731477,31.580448473582564@74.35561931816721,31.58057807323219@74.35523737674757,31.580535332942375
polygon_op482p4k;74.35581438918524,31.580310344822834@74.3558022512166,31.58026415760203@74.35580629720616,31.580258642707733@74.3558370467266,31.580253127813947@74.35584837549729,31.580308966100162@74.35581438918524,31.580310344822834
polygon_bma8b5ei;74.35572214062341,31.580333266085518@74.35573387399148,31.580251576749745@74.35573670618516,31.580247440579114@74.35578647185736,31.58025330015414@74.35578930404901,31.580257436325297@74.35577676148051,31.580339125654163@74.35577271549099,31.58034153841801@74.35572578201294,31.58033740225237@74.35572214062341,31.580333266085518
polygon_d38y5uof;74.355257715916,31.58032736683934@74.35527431244319,31.580234246545032@74.35527918248607,31.58023182639603@74.355575849275,31.580268128625377@74.35557909597028,31.580272623186005@74.35556326832977,31.58036458876552@74.3555587375431,31.58036666042004@74.35526580789505,31.580332192367592@74.355257715916,31.58032736683934
polygon_m4pq0ank;74.35585506504353,31.58033606536131@74.35588022693202,31.58019154793641@74.35588590864876,31.58018463322165@74.35621220153317,31.580223355618614@74.35621463655471,31.580229578859402@74.35619272136142,31.580372713285158@74.35618622797082,31.580379627985963@74.35586237010796,31.580341597124203@74.35585506504353,31.58033606536131
polygon_ljuhb1nr;74.35577633304814,31.57985272576657@74.35579743656751,31.57975107903556@74.35584613699885,31.579759376731857@74.35582828017274,31.579860331979887@74.35582097510837,31.579864480823275@74.35578039141728,31.579858949032072@74.35577633304814,31.57985272576657
polygon_7kok85ib;74.35607097065156,31.579904586300444@74.35606528893481,31.579941234393942@74.35607340567302,31.579944691761227@74.35609775588966,31.579949532074096@74.35610100258498,31.579943308813824@74.35610911932312,31.579903203353282@74.35613428121161,31.57990873514271@74.35611561271375,31.580004158445547@74.35610830764935,31.580007615809706@74.35593136275219,31.579982722784976@74.35594759622856,31.579886607985628@74.3560628539133,31.57990043745886@74.35607097065156,31.579904586300444
polygon_thpr1c6n;74.35544161193465,31.5799222346474@74.35545703374365,31.579809524399096@74.35546190378656,31.579806758501903@74.35566116971484,31.5798268112555@74.35566441640381,31.579830268630545@74.35565995219679,31.579871065596294@74.35565548799175,31.579874177228504@74.35557959648642,31.57986726249017@74.35557513228133,31.579868645437855@74.35557188558604,31.57989353849392@74.35557432060753,31.579897341599022@74.35564615374182,31.57990391059829@74.35565102378476,31.579907022229364@74.35564655957967,31.579945053268474@74.35564209537264,31.57994816489817@74.35544526446586,31.579927766434835@74.35544161193465,31.5799222346474
polygon_cfckg74x;74.35527230814233,31.580184974887246@74.35529828170664,31.580074339378854@74.35570736532293,31.580124125373572@74.35571710540879,31.5800688076001@74.35531776187838,31.580017638629457@74.35533561870241,31.57990423702816@74.35530315174958,31.57989870523933@74.35531938522601,31.579786686442205@74.35534373544067,31.579790835288847@74.35536159226476,31.579709241269228@74.35577554592399,31.579763176306898@74.35574307897105,31.57996646963163@74.35578528600985,31.57996646963163@74.35579502609767,31.57992221533962@74.35582586970298,31.579927747127883@74.35582099966001,31.579976150254822@74.35586158335116,31.579978916147027@74.35587944017718,31.579872429237028@74.35591515382538,31.57987381218466@74.35591677717304,31.579858599759575@74.35588431022012,31.579851685020117@74.35590379039192,31.57976594220537@74.35606287846554,31.57979221823571@74.35604989168436,31.579871046287394@74.35614566919739,31.579880726920535@74.3561570326309,31.57982264310587@74.35622521323398,31.579830940795773@74.35619436962673,31.58000934095425@74.35634534096158,31.58002870219076@74.35632261409455,31.580162847793773@74.35623332997213,31.58015593307688@74.35622358988627,31.580186357828296@74.355910283783,31.580144869528723@74.35591515382589,31.58009093471115@74.35575281905756,31.580070190542855@74.35574957236224,31.580100615321413@74.35583723313704,31.580114444763794@74.35581450627001,31.5802485902434@74.35527230814233,31.580184974887246
polygon_9zqtt7np;74.35169000257483,31.580076812812806@74.35146597915781,31.580059656835587@74.35150169280601,31.579835619493608@74.35147247254841,31.579825938854952@74.35151305623197,31.57933207615075@74.35145948575973,31.579322395459826@74.35147247254088,31.5792435669441@74.35101144179802,31.579193780479045@74.35096111802139,31.579190401931626@74.35101793518896,31.578775513670223@74.35105040214387,31.578778279597998@74.35110884265904,31.57850998421435@74.35111695939923,31.578459844073592@74.35120462017204,31.57792294553974@74.35121598360558,31.577837200950768@74.35117864660774,31.57783166903924@74.3512127369122,31.57763648829838@74.35122897038869,31.577630956374918@74.3512403338222,31.57761159464036@74.35123221708147,31.577594149717058@74.3512533206009,31.577454468483296@74.35127442412028,31.577439255663336@74.35127442412028,31.577421276872144@74.35125819064379,31.57740883001526@74.35127767081553,31.577274680448667@74.3512906575987,31.577258084613007@74.35128903425104,31.577234573839917@74.35131825450821,31.57710775590948@74.35133611133224,31.57709254303299@74.35133124128936,31.57707594716402@74.35131663116053,31.57706488325033@74.35133611133224,31.576923818232103@74.35135234480873,31.576916903274878@74.3513588381993,31.576897541391162@74.35134585141813,31.576876796512195@74.35133773468118,31.576845679183975@74.35136046154821,31.57671844378025@74.35137994172189,31.57669078388659@74.35137020163407,31.576652060022013@74.3513831884172,31.576461206454425@74.35140916197949,31.576273118497383@74.35142864215126,31.576112690235092@74.3515000694496,31.576123754261815@74.35141890206694,31.57657651401989@74.3514059152858,31.576880772769087@74.35142214876223,31.57691673055571@74.35145786241046,31.576930560469634@74.35159097692119,31.57692779448699@74.35163318396198,31.5775390746646@74.35167376862742,31.57758402147219@74.35157961447914,31.57870146381805@74.35158610786971,31.578747101653178@74.35162993825813,31.578766463152704@74.35179551971973,31.57880380317542@74.35181499989349,31.57881348391939@74.35182311708564,31.57884045210504@74.35162506866709,31.58005191980574@74.35169000257483,31.580076812812806
polygon_f1n98brg;74.35149715931607,31.57998798284767@74.35152962626901,31.579797136109534@74.35159780687204,31.579802667904346@74.35157508000498,31.579990748739505@74.35149715931607,31.57998798284767
polygon_jzthiacm;74.35153936635487,31.579766711231017@74.3515620932238,31.579545439089898@74.35164975399863,31.579553736804485@74.35163352052015,31.579783306620897@74.35153936635487,31.579766711231017
polygon_qtkta7la;74.35152962672367,31.579503950880422@74.35156209367653,31.579285444028272@74.35151014655193,31.579282678115533@74.3515166399425,31.579221828012805@74.3510296356373,31.579158211953924@74.3510458691137,31.579053107066088@74.35158157385027,31.579111191361136@74.35159131393613,31.57905863890595@74.35160754741258,31.57897566128362@74.35106534928747,31.578909279132887@74.35108482945918,31.578754387264567@74.35172118174967,31.578831833230936@74.3517081949685,31.578895449512558@74.35174390861866,31.578895449512558@74.3517309218355,31.578970129439668@74.35164975445329,31.578970129439668@74.35163676767016,31.57905863890595@74.35172118174967,31.579066936663878@74.3516530011486,31.57951224859869@74.35152962672367,31.579503950880422
polygon_rui4zbc1;74.35139001882229,31.57904204338709@74.35139404806992,31.57897680846915@74.35145671857009,31.57898381046205@74.35146144612062,31.57897566128362@74.35159780732673,31.578992256814317@74.35158482054555,31.579055872986487@74.35139001882229,31.57904204338709
polygon_lges89rd;74.35131521267152,31.578714817218312@74.3513275412943,31.57863166827714@74.35131315790105,31.578629042519964@74.35133781514907,31.57849337829839@74.35144221808224,31.578507382355156@74.35144016331179,31.57853363995892@74.35148023133692,31.578535390465532@74.35145351931979,31.578725320238874@74.35144427285275,31.57873407275349@74.35131521267152,31.578714817218312
polygon_gswdtxrh;74.35115572092332,31.578726195576735@74.3511731864734,31.578628167355376@74.35129030839184,31.578641296141157@74.3512718154577,31.578742825353615@74.35115572092332,31.578726195576735
polygon_2sf4dtiq;74.35118037817,31.578583529470563@74.35119476156319,31.578486376353496@74.3512091449563,31.57848024957707@74.35131496563724,31.578491627875806@74.35132010256336,31.578500380412876@74.35130366439975,31.57859228199905@74.35129544531793,31.57859665826267@74.35118037817,31.578583529470563
polygon_xhvoz7bs;74.3512183914305,31.578373906313686@74.35129852747949,31.577864506616308@74.35163140030181,31.577897766475076@74.35154920948113,31.57841066700908@74.3512183914305,31.578373906313686
polygon_q8n8vd9a;74.35129852747949,31.578328393051876@74.35135811582515,31.57794152942941@74.35154509994021,31.5779590346055@74.3514916759072,31.578349399175522@74.35129852747949,31.578328393051876
polygon_i3zoee37;74.35130280179322,31.577816887508575@74.35131923995812,31.577675095272056@74.35141786894116,31.577690849975752@74.3513993760071,31.57782739062837@74.35130280179322,31.577816887508575
polygon_lblh5ix4;74.35133773289226,31.57760857538321@74.351345951974,31.57752279966749@74.35158430535125,31.577531552294417@74.35158636012173,31.57761269668096@74.35133773289226,31.57760857538321
polygon_g6ad0wfw;74.35139321167085,31.577390379865378@74.3514096498358,31.577201322637734@74.35157608624638,31.577206574232477@74.35156992193376,31.577399132505306@74.35139321167085,31.577390379865378
polygon_3x48vixp;74.35141170460625,31.577161060400684@74.3514075950641,31.577124299212485@74.3514548547858,31.57711904761311@74.35146307386765,31.57715930986832@74.35141170460625,31.577161060400684
polygon_tz771mtc;74.35139123344035,31.580738035554774@74.35141390565235,31.58053962247719@74.35147780006935,31.58054664595602@74.35146543340826,31.580745059019208@74.35139123344035,31.580738035554774
polygon_48eixomw;74.35142008898288,31.580522063777238@74.35144482230635,31.580297312127442@74.35153963337737,31.58030609149874@74.3515375722672,31.58033594135597@74.3514984111724,31.580337697229567@74.35148604451135,31.58052381964731@74.35142008898288,31.580522063777238
polygon_0bsnedxe;74.3514324556453,31.580274485757727@74.35144482230635,31.58011118925735@74.35161383334528,31.58011996864616@74.35161383334528,31.58016035382515@74.35156848891998,31.58016210970203@74.35155200003851,31.58028326513113@74.3514324556453,31.580274485757727
polygon_1yb06jes;74.35113977813862,31.58094606756373@74.35120573366578,31.580716049337198@74.3513932946976,31.58072307280274@74.3513932946976,31.580741509397768@74.3514108141342,31.580746776995525@74.35140566135786,31.58081174401113@74.35135722526724,31.580806476417067@74.35134176694086,31.58081262194345@74.35133867527554,31.580827546792136@74.35131909472756,31.58095221308028@74.3511861531181,31.58093904411436@74.35115317535391,31.58093553238929@74.35114390035807,31.580937288252073@74.35113977813862,31.58094606756373
polygon_03u90x40;74.35285811165619,31.5817403143228@74.3528869544152,31.58136895190613@74.35449446519817,31.581511175986265@74.35449446519829,31.581494495395688@74.35289504365713,31.581354027143774@74.3529857325077,31.580532283627903@74.35313001022445,31.5804515135748@74.35331138792446,31.580384790434792@74.35336497679057,31.580384790434792@74.35507569828619,31.580655194443835@74.35648273185555,31.58080971066842@74.35626425417092,31.582656862056638@74.35431325548066,31.582526930546464@74.35441218877205,31.58196857417866@74.35437921100785,31.58192994562681@74.3543256221418,31.5819158988771@74.35308071156118,31.581768407873554@74.35285811165619,31.5817403143228
polygon_1c57d41k;74.35302676587983,31.581256977281@74.3530558324698,31.581093840710537@74.3531002872555,31.58109675386622@74.35307122066558,31.58126426015724@74.35302676587983,31.581256977281
polygon_gi4cy5tq;74.35312251464933,31.581073448619165@74.35313277344648,31.581023924950514@74.35324220061023,31.58103120784419@74.35323536141217,31.58108510124383@74.35312251464933,31.581073448619165
